CustomerID,Customer Region,CustomerTier,FullName,Company,Address1,Address2,Address3,City,City2,State,Zip,PrefDelivMethod,Country,CreateDate,Currency,OrderAmount,Status,MiscDate
10110270,Los Angeles,Bronze,Penny Czarnecki,SAN FRAN CHRONICLE,901 MISSION STREET,,,SAN FRANCISCO,,CA,94103,United Parcel Service Red,US,25/08/1983,USD,17047,LIVE,31/12/99
10110271,Los Angeles,Ruby,Bob Chan,SEMPRA ENERGY,"555 W. FIFTH, STREET",,,LOS ANGELES,,CA,90071,US Postal International,US,14/09/1983,USD,9147,LIVE,31/12/99
10110329,  Los Angeles,Bronze,  Michael Auton,WIRED MAGAZINE,520 THIRD ST.,,,SAN FRANCISCO,,CA,94107,US Postal 2-day,US,30/07/1983,USD,32165,LIVE,31/12/99
10110384,Los Angeles,Bronze,Sue Choi,ST PAUL COMPANIES,385 WASHINGTON STREET,,,SAINT PAUL,,MN,55102-1396,US Postal Overnight,US,30/07/1992,USD,21000,LIVE,31/12/99
 10110392,Los Angeles,Bronze,Larry Adams,XINFU RESOURCES TRADING,509 WEST NORMAN AVENUE,,,ARCADIA,,CA,91007,US Postal 2-day,US,
10110398,Los Angeles,Diamond,Leonard Dionne,CIBC WORLD MARKETS,701 5TH AVE.  0000 COLUMBIA CENTER,,,SEATTLE,,WA,98104,US Postal 2-day,US,16/08/1986,USD,46666,LIVE,31/12/99
10110404,Los Angeles,3,Keith Smith,INTEL CORPORATION,2111 NORTH EAST 25TH AVENUE,,,HILLSBORO,,OR,97124,United Parcel Service Blue,US,29/10/1990,USD,49991,LIVE,31/12/99
10110408,Los Angeles,Diamond,Sebastien Chan,WOLFE DOYLE ADVERTISING,2728 HYDE STREET,,,SAN FRANCISCO,,CA,94109,US Postal 2-day,US,27/07/1993,USD,28141,LIVE,31/12/99
10110447,Los Angeles,2,John Mccalpin ,"NATIONAL, ASSOCIATION , OF SECURITIES, DEALERS",300 S. GRAND AVE,,,LOS ANGELES,,CA,90071,Federal Express Overnight,US,28/09/1987,USD,15422,LIVE,31/12/99
10110465,Los Angeles,3,Jim Dy,AVISTA ENERGY INC.,201 WEST NORTH RIVER DRIVE  SUITE 610,,,SPOKANE,,WA,99201,Federal Express International,US,22/11/1983,USD,3882,LIVE,31/12/99
10110473,Los Angeles,Bronze,Aaron Cushing,WEDBUSH MORGAN  SECURITIES,"101 W. BENSON, STE 500",,,ANCHORAGE,,AK,99503,Federal Express Overnight,U.S.A.,28/10/1986,USD,28875,LIVE,31/12/99
10110495,Los Angeles,,Michel Arevalo,WILLIAM O'NEIL & COMPANY,12655 BEATRICE STREET  .,,,LOS ANGELES,,CA,90066,Federal Express International,,12/12/1982,USD,23491,LIVE,31/12/99
10110548,Los Angeles,Gold,Chris Belleperche,PG&E (PACIFIC GAS AND ELECTRIC COMPANY),425 BECK AVENUE,,,FAIRFIELD,,CA,94533,United Parcel Service Blue,US,2/9/1983,USD,11928,LIVE,31/12/99
10110580,Los Angeles,Diamond,Lian Brexhage,"THEY, INC.",59 EL MORRO VILLAGE,,,LAGUNA BEACH,,CA,92651,United Parcel Service Blue,US,31/07/1988,USD,36490,LIVE,31/12/99
10110581,Los Angeles,2,Leonard Chapman,"CHARLES SCHWAB & CO., INC.",345 CALIFORNIA ST 6TH FLOOR,,,SAN FRANCISCO,,CA,94194,United Parcel Service Air,US,16/08/1988,USD,47000,LIVE,31/12/99
10110652,"Los, Angeles",Bronze,Jane Cude,MC DONNELL DOUGLAS,3855 LAKEWOOD BLVD,,,LONG BEACH,,CA,90846,US Postal 2-day,US,14/10/1983,USD,32935,LIVE,31/12/99
,,,,,,,,,,,,,,,,,,
10110677,Los Angeles,Bronze,David Reed,J.J. KENNY DRAKE,333 S. GRAND AVENUE,,,LOS ANGELES,,,,,,,CA,90071,US Postal 2-day,US,30/08/1985,USD,7624,LIVE,31/12/99
10110718,Los Angeles,Emerald,Sylvain Abedini  ,CITY OF PASADENA,200 S. LOS ROBLES AVE. STE 150  PO#8907,,,PASADENA,,CA,91109-7215,US Postal 2-day,US,16/08/1981,,18962,LIVE,31/12/99
10110763,Los Angeles,,Cliff Cook,DIMENSIONAL FUND ADVISORS,1299 OCEAN AVENUE,,,SANTA MONICA,,CA,90401,US Postal International,US,28/09/1989,USD,32996,LIVE,31/12/99
10110778,Los Angeles,Ruby,Christine Comtois,AFEX,16133 VENTURA BLVD.,,,ENCINO,,CA,91436,United Parcel Service International,US,3/11/1983,USD,50064,LIVE,31/12/99
10110847,Los Angeles,Silver,Michael Anderson,SILICON VALLEY BANK,3003 TASMAN DRIVE,,,SANTA CLARA,,CA,95054,United Parcel Service Blue,US,27/09/1983,USD,16394,LIVE,31/12/99
10110852,Los Angeles,,Vuthy Sparks,MARSHA LEE,"73-241 HIGHWAY 111, STE 3A",,,PALM DESERT,,CA,92260,Federal Express International,US,3/12/1985,USD,10496,LIVE,31/12/99
10110859,Los Angeles,Diamond,David Reed,COMERICA BANK,250 LYTTON AVENUE,,,PALO ALTO,,CA,94302,Federal Express International,US,30/10/1988,USD,42757,LIVE,31/12/99
10110879,Los Angeles,Bronze,Jo!@#$hn Boneham,ORACLE,6005 PLUMA STREET  SUITE 205,,,RENO,,NV,89509,Federal Express 2-day,US,1/4/1983,USD,24462,LIVE,31/12/99
10110912,Los Angeles,Ruby,Mike Lavelle,BANKAMERICA CORPORATION,300 SOUTH GRAND AVE.,,,LOS ANGELES,,CA,90071,US Postal 2-day,US,30/11/1992,USD,10714,LIVE,31/12/99
10110942,Los Angeles,Diamond,Larry Boivin,"WEST MAUI FINANCIAL, LLC","5095 NAPILIHAU ST, SUITE 202  NAPILI PLAZA",,,LAHAINA,,HI,96761-8800,US Postal 2-day,US,31/07/1981,,28601,LIVE,31/12/99
10110953,Los Angeles,Ruby,David Arevalo,OAKMONT,865 S. FIGUEROA STREET,,,LOS ANGELES,,CA,90017,Federal Express Overnight,US,29/08/1989,USD,21891,LIVE,31/12/99
10110955,Los Angeles,3,Chet Dy,GENETICS INSTITUTE,87 CAMBRIDGE PARK DRIVE,,,CAMBRIDGE,,MA,02140-2387,United Parcel Service International,US,31/08/1991,USD,1614,LIVE,31/12/99
10110958,Los Angeles,Bronze,Karen Brovender,"WAIS, INC.",1040 NOEL DR,,,MENLO PARK,,CA,94025,US Postal 2-day,US,29/03/1993,USD,45678,LIVE,31/12/99
10110958,Los Angeles,Bronze,Karen Brovender,"WAIS, INC.",1040 NOEL DR,,,MENLO PARK,,CA,94025,US Postal 2-day,US,29/03/1993,USD,45678,LIVE,31/12/99
10110996,Los Angeles,2,Leonard Bautista,FORTUNE FINANCIAL,S.BOYLE AVE,,,VERNON,,CA,90058,US Postal International,US,29/07/1994,USD,25226,LIVE,31/12/99
10110998,Los Angeles,Ruby,Susan Cook,FORT MACPHERSON,USA HQ FORCES COMMAND,,,FORT MCPHERSON,,GA,30330-6000,US Postal Overnight,US,29/11/1994,USD,24061,LIVE,31/12/99
10111060,Los Angeles,1,Thomas Belanger,REASON FOUNDATION,3415 S. SEPULVEDA BLVD.,,,LOS ANGELES,,CA,90034,United Parcel Service Blue,US,30/07/1994,USD,42559,LIVE,31/12/99
10111101,Los Angeles,Gold,Josee Beierl,BERGER ASSOCIATES,4137 24TH STREET,,,SAN FRANCISCO,,CA,94114,Federal Express 2-day,US,29/10/1984,USD,48798,LIVE,31/12/99
10111114,Los Angeles,1,David Reed,"NIPPON OIL (USA), LTD.","2680 BISHOP DRIVE  BUILDING 1, SUITE 275",,,SAN RAMON,,CA,94583,United Parcel Service Red,US,9/8/1990,USD,13417,LIVE,31/12/99
10111117,Los Angeles,Emerald,Jasjit Robie,CITIZENS BANK,225 EAST COLORADO BLVD,,,PASADENA,,CA,91101,United Parcel Service Air,US,29/10/1992,USD,30818,NON-LIVE,31/12/99
10111121,Los Angeles,1,Christine Keane,NYMEX,1 NORTH END AVENUE  MANHATTEN,,,NEW YORK,,NEW YORK,10282/1101,United Parcel Service Red,US,29/09/1981,USD,12759,LIVE,31/12/99

10111144,Los Angeles,Bronze,Desmond Walters,LORD SPENCE & ASSOCIATES,1655 LA FONDA,,,LAS CRUCES,,NM,88001,Courier,US,14/09/1993,USD,4293,LIVE,31/12/99
10111145,Los Angeles,Bronze,Chris Coutts,VOLTAIRE INVESTMENTS LLC,8621 EAST VOLTAIRE AVE,,,SCOTTSDALE,,AZ,85260,Federal Express International,US,29/09/1993,USD,6584,NON-LIVE,31/12/99
10111164,Los Angeles,Ruby,Yusuf Chiang,CMP MEDIA,600 HARRISON STREET,,,SAN FRANCISCO,,CA,94107,US Postal International,US,5/9/1989,USD,19832,LIVE,31/12/99
10111166,Los Angeles,3,Wick #Bachtin,PEQUOT CAPITAL,1 MARKET PLAZA,,,SAN FRANCISCO,,CA,94105,Federal Express 2-day,US,29/06/1990,USD,49417,LIVE,31/12/99
10111175,Los Angeles,Bronze,Mike Cheng,HEWLETT PACKARD,3495 DEER CREEK ROAD,,,PALO ALTO,,CA,94304,United Parcel Service Red,US,22/11/1992,USD,3868,LIVE,31/12/99
10111194,Los Angeles,2,Jason Campagne,REPUBLIC NATIONAL BANK OF NEW YORK,10TH FLOOR  452 5TH AVENUE,,,LOS ANGELES,,CA,90071,United Parcel Service International,US,9/7/1990,USD,45546,LIVE,31/12/99 01:01
10111200,Los Angeles,Diamond,James Beierl,SOUNDVIEW TECHNOLOGY,1 MARKET ST.  3RD FLOOR,,,SAN FRANCISCO,,CA,94105,US Postal 2-day,US,14/09/1994,USD,8566,LIVE,31/12/99
10111206,Los Angeles,1,Monita Comtois,CAPITAL GROUP RESEARCH INC,333 S. HOPE ST.,,,LOS ANGELES,,CA,90071,United Parcel Service Blue,US,3/4/1983,USD,23713,LIVE,31/12/99
10111233,Los Angeles,1,Richard D'silva,PAINE WEBBER,725 SOUTH FIGUEROA STREET,,,LOS ANGELES,,CA,90017,Federal Express Overnight,US,8/11/1983,USD,49155,LIVE,31/12/99
10111261,Los Angeles,Ruby,Paul Bechhofer,TOWER ENERGY GROUP,1983 W 190TH ST 1,,,TORRANCE,,CA,90504,United Parcel Service Air,US,7/1/1983,USD,33062,LIVE,31/12/99
10111265,Los Angeles,Ruby,Shane Brodie,COUNTRYWIDE FUNDING,155 N. LAKE AVENUE,,,PASADENA,,CA,91106,United Parcel Service Red,US,31/10/1984,USD,13386,LIVE,31/12/99
,,,,,,,,,,,,,,,,,,
10111281,Los Angeles,Diamond,Les Strauss,STEINER CAPITAL MANAGEMENT,16879 SW SUMMER PLACE,,,LAKE OSWEGO,,OR,97035,United Parcel Service International,US,16/09/1984,USD,23332,LIVE,31/12/99
10111290,Los Angeles,Bronze,Bruce Chin,DEAN WITTER REYNOLDS INC.,101 CALIFORNIA STREET  69TH FLOOR,,,SAN FRANCISCO,,CA,94111,United Parcel Service Red,US,13/11/1989,USD,11711,LIVE,31/12/99
10111423,Los Angeles,Emerald,Chris Backwell,EADVISOR,"999 3RD AVENUE  SUITE 2900,29TH FL",,,SEATTLE,,WA,98104,Federal Express 2-day,US,25/08/1993,USD,6710,LIVE,31/12/99
10111441,Los Angeles,Diamond,  Marilyn Bazil,SING TAN,18505 EAST GALE AVENUE,,,CITY OF INDUSTRY,,CA,91748,United Parcel Service Red,US,31/03/1988,USD,12035,LIVE,31/12/99
10111458,Los Angeles,Ruby,Chris Coulter,CITICORP INVESTMENT SERVICES,130 WEST PORTAL AVE.,,,SAN FRANCISCO,,CA,94127,United Parcel Service Air,US,8/12/1983,USD,25925,LIVE,31/12/99
10111461,Los Angeles,Ruby,Beth Cottenden,"ON24, INC.","833 MARKET STREET, STE 1004",,,SAN FRANCISCO,,,94103,US Postal International,US,29/06/1984,USD,18899,LIVE,31/12/99
10111468,Los Angeles,2,Chris Meyer,T C ZIRAAT BANKASI,330 MADISON AVENUE,,,NEW YORK,,NY,10167-1005,Federal Express Overnight,,25/07/1988,USD,44509,LIVE,31/12/99
10111482,Los Angeles,Ruby,Bill Clark,EDGINGTON OIL,2400 E. ARTESIA BLVD.,,,LONG BEACH,,CA,90805,US Postal 2-day,US,8/1/1992,USD,11453,LIVE,31/12/99
10111496,Los Angeles,Emerald,Carmen Hirsh,TRUST COMPANY OF THE WEST,865 S. FIGUEROA ST.,,,LOS ANGELES,,CA,90017,United Parcel Service Red,US,3/9/1985,USD,32902,LIVE,31/12/99


10111506,Los Angeles,,,,3,Geoff Burns,TRADING EDGE,200 NORTH NASH STREET,,,EL SEGUNDO,,CA,90245,US Postal 2-day,US,8/1/1989,USD,24108,LIVE,31/12/99
10111545,Los Angeles,Bronze,Ken Chan,DUNCAN HURST CAPITAL MANAGEMENT INC.,4365 EXECUTIVE DRIVE,,,SAN DIEGO,,CA,92121,US Postal Overnight,US,3/7/1983,USD,10728,LIVE,31/12/99
10111555,Los Angeles,Diamond,John Barron,SUNGARD,1285 DRUMMERS LANE,,,WAYNE,,,19087-1586,Federal Express Overnight,US,30/07/1988,,6489,LIVE,31/12/99
10111577,Los Angeles,Diamond,Erica Steingraber,GOPROFIT.COM,3760 VIA PACIFICA WALK,,,OXNARD,,CA,93035,United Parcel Service International,US,31/07/1990,USD,17833,LIVE,31/12/99

10111581,平仮名, 34ひらが,Ruby,Louis Stephenson,NAVAL INTELLIGENCE,4301 SUITLAND ROAD,,,WASHINGTON,,DC,20395-5020,United Parcel Service Red,US,29/11/1992,USD,10995,LIVE,31/12/99
10111611,Los Angeles,Diamond,Leon Mcdonnell,TOWERGROUP,TWO CHARLES RIVER PLACE 63 KENDRICK STREET,,,NEEDHAM,,MA,02494-2708,United Parcel Service Red,US,6/1/1983,USD,22611,LIVE,31/12/99
10111626,Los Angeles,Ruby,Jeffrey Drandic,GRANITE CAPITAL MANAGEMENT INC,5707 REDWOOD ROAD,,,OAKLAND,,CA,94619,Federal Express 2-day,US,30/06/1990,USD,35360,LIVE,31/12/99
10111648,Los Angeles,Emerald,Gord Level,EVNINE-VAUGHAN ASSOCIATES,456 MONTGOMERY STREET,,,SAN FRANCISCO,,CA,94104,US Postal 2-day,US,28/09/1986,USD,16633,LIVE,31/12/99
10111686,Los Angeles,Diamond,Michael Brown,TELEMETRY INVESTMENTS,20 EXCHANGE PLACE,,,NEW YORK,,NY,10005-3201,US Postal International,US,28/10/1981,USD,36117,LIVE,31/12/99
10111689,Los Angeles,Diamond,Chris Zack,AMOCO PRODUCTION COMPANY,550 WESTLAKE PARK BLVD.  SUITE 1570,,,HOUSTON,,TX,77079-2696,United Parcel Service Air,U.S.,29/11/1983,USD,31169,LIVE,31/12/99
10111689,Los Angeles,Diamond,Chris Zack,AMOCO PRODUCTION COMPANY,550 WESTLAKE PARK BLVD.  SUITE 1570,,,HOUSTON,,TX,77079-2696,United Parcel Service Air,U.S.,29/11/1983,USD,31169,LIVE,31/12/99
10111689,Los Angeles,Diamond,Chris Zack,AMOCO PRODUCTION COMPANY,550 WESTLAKE PARK BLVD.  SUITE 1570,,,HOUSTON,,TX,77079-2696,United Parcel Service Air,U.S.,29/11/1983,USD,31169,LIVE,31/12/99
10111689,Los Angeles,Diamond,Chris Zack,AMOCO PRODUCTION COMPANY,550 WESTLAKE PARK BLVD.  SUITE 1570,,,HOUSTON,,TX,77079-2696,United Parcel Service Air,U.S.,29/11/1983,USD,31169,LIVE,31/12/99
10111692,Los Angeles,3,Saleem Cottenden,SONOMA PUBLISHINGLLC,20091 BROADWAY,,,SONOMA,,CA,95476,US Postal 2-day,US,30/09/1985,USD,30556,LIVE,31/12/99
10111696,Los Angeles,Bronze,John Chu,LUCE PRESS CLIPPINGS,42 SOUTH CENTER,,,MESA,,AZ,85210,United Parcel Service Air,US,10/8/1986,USD,4818,LIVE,31/12/99
10111701,Los Angeles,Bronze,Brad Bootsma,DAIWA SECURITIES AMERICA INC.,333 S. GRAND AVE.,,,LOS ANGELES,,CA,90071,Federal Express 2-day,US,28/07/1988,USD,42526,LIVE,31/12/99
10111712,Los Angeles,Emerald,Jason Boutros,STANFORD UNIVERSITY,HUGH JACKSON LIBRARY,,,STANFORD,,CA,94305,US Postal Overnight,US,6/9/1992,USD,19131,LIVE,31/12/99
10111722,Los Angeles,Diamond,Scott Anik,IBM,1111 BAGBY STREET,,,SEATTLE,,WA,98104,US Postal 2-day,US,28/10/1984,,44607,LIVE,31/12/99
10111728,Los Angeles,Diamond,Rick Grace,GATX CAPITAL CORP,4 EMBARCADERO CENTER,,,SAN FRANCISCO,,CA,94111,Federal Express 2-day,US,25/08/1986,"USD,",,,,43720,LIVE,31/12/99
10111786,Los Angeles,Diamond,Daniel Dempsey,"WANGER ASSET MANAGEMENT, L.P.",227 W. MONROE,,,CHICAGO,,IL,60606-5016,US Postal 2-day,US,30/06/1985,USD,49026,LIVE,31/12/99
10111811,Los Angeles,平仮名, 34ひらが,Angela Alsbury,THE SOCO GROUP,4915 MERCURY STREET,,,SAN DIEGO,,CA,92111-1703,US Postal Overnight,US,14/10/1982,USD,10095,LIVE,31/12/99
10111817,Los Angeles,Ruby,Nancy Askerup,OUTSIDE MAGAZINE,400 MARKET STREET,,,SANTA FE,,NM,87501,US Postal 2-day,US,16/08/1985,USD,24824,LIVE,31/12/99
10111818,Los Angeles,Emerald,Gord Meola,DEXTER AEROSPACE MATERIALS DIVISION,2850 WILLOW PASS ROAD,,,PITTSBURG,,CA,94565,United Parcel Service Blue,,US,8/1/1985,USD,16869,LIVE,31/12/99
10111818,Los Angeles,Emerald,Gord Meola!@#$,DEXTER AEROSPACE MATERIALS DIVISION,2850 WILLOW PASS ROAD,,,PITTSBURG,,CA,94565,United Parcel Service Blue,US,8/1/1985,USD,16869,LIVE,31/12/99
10111859,Los Angeles,Emerald,Carmen Belleperche,NATION-WIDE SPORTS PUBLICATIONS,9255 SUNSET BLVD.,,,LOS ANGELES,,CA,90069,Courier,US,7/7/1992,USD,45689,LIVE,31/12/99
10111876,Los Angeles,2,Wick Clark,MITSUBISHI BANK,777 S. FIGUEROA,,,LOS ANGELES,,CA,90071,United Parcel Service Blue,US,28/08/1981,USD,6322,LIVE,31/12/99
10111902,Los Angeles,Emerald,Chris Backwell,HISPANIC NEWS,"901 SE OAK, WILLAMETTE PLZ",,,PORTLAND,,OR,97214,Federal Express 2-day,US,20/08/1992,USD,32764,LIVE,31/12/99
10111907,Los Angeles,Ruby,Lynn Baldwin,PRUDENTIAL SECURITIES,"1600 EL CAMINO REAL, SUTIE 150",,,MENLO PARK,,CA,94025,United Parcel Service International,US,30/06/1982,USD,19448,LIVE,31/12/99
10111910,Los Angeles,,Al Armstrong,KNX NEWSRADIO,6121 SUNSET BLVD.,,,LOS ANGELES,,CA,90028,US Postal Overnight,US,2/7/1983,USD,40912,LIVE,31/12/99,,,,,
10111912,Los Angeles,Ruby,Lynn Banning,"H. KAWANO & CO., INC.",1149 BETHEL STREET,,,HONOLULU,,HI,96813,US Postal 2-day,US,30/08/1983,USD,2447,LIVE,31/12/99
10111927,Los Angeles,Diamond,Chris Bina,APPLIED MATERIALS,2621 SCOTT BOULEVARD,,,SANTA CLARA,,CA,95052-8039,Federal Express 2-day,US,31/08/1990,USD,38498,LIVE,31/12/99
10111932,Los Angeles,Diamond,David Cote,LA CURRENCY EXCHANGE,BRADLEY INTERNATIONAL TERMINAL,,,LOS ANGELES,,CA,90045,Federal Express 2-day,US,29/06/1992,USD,31585,LIVE,31/12/99
10111989,Los Angeles,Ruby,Diane Bezaire,JOSEPH KIM,19718 PACIFIC COAST HIGHWAY,,,MALIBU,,CA,90265,Federal Express 2-day,US,31/07/1987,USD,24066,LIVE,31/12/99
10112016,Los Angeles,Diamond,K. Plowman,WR GRACE & COMPANY,ONE TOWN CENTER,,,BOCA RATON,,FL,33486-1010,US Postal 2-day,US,29/06/1989,USD,46494,LIVE,31/12/99
10112020,Los Angeles,Emerald,Shelley Blake,WR HAMBRECHT,"539 BRYANT AVENUE, SUITE 100",,,SAN FRANCISCO,,CA,94107,United Parcel Service Air,US,7/12/1989,USD,46871,LIVE,31/12/99
10112021,Los Angeles,2,Eligio Smith,KRXI (KTVU-TV),2 JACK LONDON SQUARE,,,OAKLAND,,CA,94623,US Postal 2-day,US,6/9/1990,,,,,USD,15482,LIVE,31/12/99
10112037,Los Angeles,Ruby,Marzena Azmitia,BEAR STEARNS,ONE SAMSONE STREET,,,SAN FRANCISCO,,CA,94104,United Parcel Service Blue,US,13/12/1981,USD,17462,LIVE,31/12/99
10112055,Los Angeles,2,Sandra Chung-Lim,FOUR FOR SUCCESS,"1111 BAYHILL DRIVE, SUITE 270",,,SAN BRUNO,,CA,94066,United Parcel Service Blue,US,25/09/1982,USD,38572,LIVE,31/12/99
